drug_a,drug_b,label
glucocorticoids,insulin,effect
glucocorticoids,EGF,effect
retinoids,insulin,effect
retinoids,EGF,effect
cocaine,norepinephrine,effect
desipramine,norepinephrine,effect
gentamycin,atracurium,int
atracurium,gentamycin,effect
atracurium,gentamycin,effect
atracurium,gentamycin,effect
gentamycin,atracurium,effect
estradiol,endotoxin,effect
estradiol,endotoxin,mechanism
estradiol,endotoxin,effect
temazepam,ethanol,mechanism
temazepam,ethanol,mechanism
alcohol,"3-hydroxy-1,4-benzodiazepine",mechanism
theophylline,CGS 21680,effect
theophylline,CGS21680,effect
Cholestyramine,fluvastatin,mechanism
cholestyramine,fluvastatin,effect
ADL 8-2698,morphine,effect
ADL-8-2698,opioid,effect
Morphine,ADL 8-2698,effect
ADL 8-2698,morphine,effect
cisplatin,sodium thiosulfate,effect
Sodium thiosulfate,cisplatin,effect
thiosulfate,cisplatin,mechanism
fluoxetine,cisapride,mechanism
Fluvoxamine,tolbutamide,mechanism
fluvoxamine,tolbutamide,mechanism
Acetaminophen,theophylline,mechanism
Theophylline,acetaminophen,mechanism
Valproic acid,phenobarbital,mechanism
acetaminophen,theophylline,effect
phenobarbital,acetaminophen,effect
valproic acid,phenobarbital,effect
99mTc-methylene diphosphonate,gentamicin,effect
gentamicin,99mTc-MDP,mechanism
Rifampin,warfarin,int
warfarin,rifampin,int
Rifampin,warfarin,mechanism
rifampin,warfarin,mechanism
rifampin,warfarin,mechanism
rifampin,warfarin,mechanism
rifampin,warfarin,effect
perchlorate,pertechnetate,mechanism
Amiodarone,digoxin,mechanism
amiodarone,digoxin,mechanism
digoxin,amiodarone,mechanism
Azithromycin,zidovudine,mechanism
Azithromycin,zidovudine,mechanism
cimetidine,verografine,mechanism
cimetidine,iodamide,mechanism
neomycin,ACTH,effect
antiretroviral,antineoplastic drugs,advise
ketamine,ouabain,effect
Innovar Vet,ouabain,effect
pentobarbital,ouabain,effect
ouabain,Innovar,effect
ouabain,ketamine,effect
ouabain,droperidol,effect
GL,antibiotics,effect
GL,cefazolin,effect
Loperamide,dmPGE2,effect
morphine,dmPGE2,effect
N-methyllevallorphan,loperamide,effect
N-methyllevallorphan,morphine,effect
warfarin,sedatives,int
Barbiturates,coumarin drugs,advise
glutethimide,coumarin drugs,advise
Chloral hydrate,anticoagulant agents,int
methaqualone,anticoagulant agents,int
Buforin II,azithromycin,effect
Buforin II,minocycline,effect
ethanol,disulfiram,effect
clindamycin,gentamicin,int
clindamycin,gentamicin,effect
clindamycin,gentamicin,effect
Physostigmine,alcohol,effect
Physostigmine,alcohol,effect
simvastatin,clarithromycin,effect
Clarithromycin,simvastatin,mechanism
macrolide antibiotics,hydroxymethylglutaryl coenzyme A (HMG-CoA) reductase inhibitors,effect
Macrolide antibiotics,atorvastatin,mechanism
Macrolide antibiotics,cerivastatin,mechanism
Macrolide antibiotics,lovastatin,mechanism
Macrolide antibiotics,simvastatin,mechanism
irbesartan,aliskiren,mechanism
atorvastatin,aliskiren,mechanism
ketoconazole,aliskiren,mechanism
aliskiren,furosemide,mechanism
nitric oxide donor compounds,INOmax,effect
sodium nitroprusside,INOmax,effect
nitroglycerin,INOmax,effect
Chloramphenicol,penicillins,effect
erythromycins,penicillins,effect
sulfonamides,penicillins,effect
tetracyclines,penicillins,effect
Probenecid,ampicillin,mechanism
amantadine,central nervous system stimulants,advise
ketoconazole,budesonide,mechanism
ketoconazole,budesonide,advise
intraconazole,budesonide,advise
ritonavir,budesonide,advise
indinavir,budesonide,advise
saquinavir,budesonide,advise
erythromycin,budesonide,advise
xanthine bronchodilators,sympathomimetic bronchodilators,effect
theophylline,sympathomimetic bronchodilators,effect
ephedrine,sympathomimetic bronchodilators,effect
dyphylline,probenecid,mechanism
EQUETROTM,Acetazolamide,mechanism
EQUETROTM,azole antifungals,mechanism
EQUETROTM,cimetidine,mechanism
EQUETROTM,clarithromycin,mechanism
EQUETROTM,dalfopristin,mechanism
EQUETROTM,danazol,mechanism
EQUETROTM,delavirdine,mechanism
EQUETROTM,diltiazem,mechanism
EQUETROTM,erythromycin,mechanism
EQUETROTM,fluoxetine,mechanism
EQUETROTM,fluvoxamine,mechanism
EQUETROTM,isoniazid,mechanism
EQUETROTM,itraconazole,mechanism
EQUETROTM,ketoconazole,mechanism
EQUETROTM,loratadine,mechanism
EQUETROTM,nefazodone,mechanism
EQUETROTM,niacinamide,mechanism
EQUETROTM,nicotinamide,mechanism
EQUETROTM,protease inhibitors,mechanism
EQUETROTM,propoxyphene,mechanism
EQUETROTM,quinine,mechanism
EQUETROTM,quinupristin,mechanism
EQUETROTM,troleandomycin,mechanism
EQUETROTM,valproate,mechanism
EQUETROTM,verapamil,mechanism
EQUETROTM,zileuton,mechanism
EQUETROTM,Cisplatin,mechanism
EQUETROTM,doxorubicin HCL,mechanism
EQUETROTM,felbamate,mechanism
EQUETROTM,rifampin,mechanism
EQUETROTM,phenobarbital,mechanism
EQUETROTM,Phenytoin,mechanism
EQUETROTM,primidone,mechanism
EQUETROTM,methsuximide,mechanism
EQUETROTM,theophylline,mechanism
EQUETROTM,Acetaminophen,mechanism
EQUETROTM,alprazolam,mechanism
EQUETROTM,amitriptyline,mechanism
EQUETROTM,bupropion,mechanism
EQUETROTM,buspirone,mechanism
EQUETROTM,citalopram,mechanism
EQUETROTM,clobazam,mechanism
EQUETROTM,clonazepam,mechanism
EQUETROTM,clozapine,mechanism
EQUETROTM,cyclosporin,mechanism
EQUETROTM,delavirdine,mechanism
EQUETROTM,desipramine,mechanism
EQUETROTM,diazepam,mechanism
EQUETROTM,dicumarol,mechanism
EQUETROTM,doxycycline,mechanism
EQUETROTM,ethosuximide,mechanism
EQUETROTM,felbamate,mechanism
EQUETROTM,felodipine,mechanism
EQUETROTM,glucocorticoids,mechanism
EQUETROTM,haloperidol,mechanism
EQUETROTM,itraconazole,mechanism
EQUETROTM,lamotrigine,mechanism
EQUETROTM,levothyroxine,mechanism
EQUETROTM,lorazepam,mechanism
EQUETROTM,methadone,mechanism
EQUETROTM,midazolam,mechanism
EQUETROTM,mirtazapine,mechanism
EQUETROTM,nortriptyline,mechanism
EQUETROTM,olanzapine,mechanism
EQUETROTM,contraceptives,mechanism
EQUETROTM,oxcarbazepine,mechanism
EQUETROTM,Phenytoin,mechanism
EQUETROTM,praziquantel,mechanism
EQUETROTM,protease inhibitors,mechanism
EQUETROTM,quetiapine,mechanism
EQUETROTM,risperidone,mechanism
EQUETROTM,theophylline,mechanism
EQUETROTM,topiramate,mechanism
EQUETROTM,tiagabine,mechanism
EQUETROTM,tramadol,mechanism
EQUETROTM,triazolam,mechanism
EQUETROTM,valproate,mechanism
EQUETROTM,warfarin,mechanism
EQUETROTM,ziprasidone,mechanism
EQUETROTM,zonisamide,mechanism
EQUETROTM,Clomipramine HCl,mechanism
EQUETROTM,Phenytoin,mechanism
EQUETROTM,primidone,mechanism
carbamazepine,lithium,effect
anti-malarial drugs,carbamazepine,effect
chloroquine,carbamazepine,effect
mefloquine,carbamazepine,effect
EQUETROTM,centrally acting drugs,advise
EQUETROTM,alcohol,advise
neomycin,penicillin V,mechanism
neomycin,vitamin B-12,mechanism
neomycin,methotrexate,mechanism
neomycin,5-fluorouracil,mechanism
neomycin sulfate,coumarin,effect
neomycin sulfate,anticoagulants,effect
Bentiromide,acetaminophen,int
Bentiromide,Tylenol,int
Bentiromide,chloramphenicol,int
Bentiromide,Chloromycetin,int
Bentiromide,anesthetics,int
Bentiromide,benzocaine,int
Bentiromide,lidocaine,int
Bentiromide,para-aminobenzoic acid,int
Bentiromide,PABA,int
Bentiromide,multivitamins,int
Bentiromide,procainamide,int
Bentiromide,Pronestyl,int
Bentiromide,sulfonamides,int
Bentiromide,thiazide diuretics,int
Nicotinic acid,ganglionic blocking agents,effect
aspirin,nicotinic acid,mechanism
steroids,aspirin,effect
Barbiturates,fludrocortisone acetate,mechanism
phenytoin,fludrocortisone acetate,mechanism
rifampin,fludrocortisone acetate,mechanism
apomorphine,ondansetron,effect
apomorphine,5HT3 antagonist class,advise
apomorphine,ondansetron,advise
apomorphine,granisetron,advise
apomorphine,dolasetron,advise
apomorphine,palonosetron,advise
apomorphine,alosetron,advise
antihypertensive medications,vasodilators,effect
dopamine antagonists,metoclopramide,effect
phenothiazines,APOKYN,effect
butyrophenones,APOKYN,effect
thioxanthenes,APOKYN,effect
metoclopramide,APOKYN,effect
neuroleptics,dopamine agonists,advise
aspirin,fenoprofen,mechanism
fenoprofen,aspirin,mechanism
aspirin,Nalfon,mechanism
Nalfon,salicylates,advise
phenobarbital,fenoprofen,mechanism
phenobarbital,Nalfon,advise
coumarin-type anticoagulants,Nalfon,effect
Nalfon,loop diuretics,effect
Nalfon,steroid,advise
anticholinergic,narcotic analgesics,effect
anticholinergic,meperidine,effect
anticholinergic,phenothiazines,effect
anticholinergic,antipsychotics,effect
anticholinergic,tricyclic antidepressants,effect
anticholinergic,antiarrhythmics,effect
anticholinergic,quinidine,effect
anticholinergic,antihistamines,effect
AKINETON,narcotic analgesics,effect
AKINETON,meperidine,effect
AKINETON,phenothiazines,effect
AKINETON,antipsychotics,effect
AKINETON,tricyclic antidepressants,effect
AKINETON,antiarrhythmics,effect
AKINETON,quinidine,effect
AKINETON,antihistamines,effect
atropine,pralidoxime,effect
pralidoxime,atropine,effect
atropine,pralidoxime,advise
barbiturates,anticholinesterases,advise
Flupenthixol,Monoamine oxidase inhibitors,int
Flupenthixol,MAOI,int
MAOI,flupenthixol,effect
Flupenthixol,Ethanol,effect
Flupenthixol,Tricyclic antidepressants,effect
Potassium-depleting diuretics,digitalis,effect
Quinidine,digoxin,mechanism
verapamil,digoxin,mechanism
amiodarone,digoxin,mechanism
propafenone,digoxin,mechanism
indomethacin,digoxin,mechanism
itraconazole,digoxin,mechanism
alprazolam,digoxin,mechanism
spironolactone,digoxin,mechanism
Erythromycin,digoxin,mechanism
clarithromycin,digoxin,mechanism
macrolide antibiotics,digoxin,mechanism
tetracycline,digoxin,mechanism
Propantheline,digoxin,mechanism
diphenoxylate,digoxin,mechanism
Antacids,digoxin,mechanism
kaolin,digoxin,mechanism
sulfasalazine,digoxin,mechanism
neomycin,digoxin,mechanism
cholestyramine,digoxin,mechanism
metoclopramide,digoxin,mechanism
Rifampin,digoxin,mechanism
Thyroid,digoxin,advise
digoxin,sympathomimetics,effect
beta-adrenergic blockers,digoxin,effect
calcium channel blockers,digoxin,effect
ABILIFY,centrally acting drugs,advise
ABILIFY,alcohol,advise
aripiprazole,antihypertensive agents,effect
carbamazepine,aripiprazole,mechanism
ketoconazole,aripiprazole,mechanism
quinidine,aripiprazole,mechanism
fluoxetine,aripiprazole,mechanism
paroxetine,aripiprazole,mechanism
ketoconazole,aripiprazole,mechanism
ketoconazole,aripiprazole,advise
aripiprazole,quinidine,mechanism
quinidine,aripiprazole,advise
carbamazepine,aripiprazole,mechanism
carbamazepine,aripiprazole,advise
carbamazepine,aripiprazole,advise
alcohol,ABILIFY,advise
etidronate,warfarin,effect
tamoxifen,anastrozole,advise
anastrozole,tamoxifen,mechanism
Estrogen,ARIMIDEX,advise
amyl nitrite,alcohol,effect
Isocarboxazid,Antabuse,advise
Isocarboxazid,disulfiram,advise
MAO inhibitor,disulfiram,effect
Isocarboxazid,psychotropic agents,advise
Panretin,DEET,advise
Panretin,N-diethyl-m-toluamide,advise
magnesium trisilicate,nitrofurantoin,mechanism
nitrofurantoin,magnesium trisilicate,mechanism
Uricosuric drugs,nitrofurantoin,mechanism
probenecid,nitrofurantoin,mechanism
sulfinpyrazone,nitrofurantoin,mechanism
Aminosalicylic acid,digoxin,mechanism
Aminosalicylic acid,Lanoxin,mechanism
digoxin,aminosalicylic acid,advise
Aminosalicylic acid,vitamin B12,mechanism
vitamin B12,aminosalicylic acid,advise
antibiotics,anticholinesterase,advise
Factrel,phenothiazines,effect
Factrel,dopamine antagonists,effect
ciclesonide,ketoconazole,mechanism
ketoconazole,ciclesonide,advise
acetaminophen,Isoniazid,effect
isoniazid,acetaminophen,effect
isoniazid,acetaminophen,mechanism
Isoniazid,carbamazepine,mechanism
Carbamazepine,isoniazid,advise
Ketoconazole,Isoniazid,int
Isoniazid,phenytoin,mechanism
isoniazid,theophylline,mechanism
valproate,isoniazid,mechanism
isoniazid,valproate,advise
ELLENCE,calcium channel blockers,advise
Cimetidine,epirubicin,mechanism
Cimetidine,ELLENCE,advise
dorzolamide,carbonic anhydrase inhibitors,effect
L-histidine,medroxyprogesterone acetate,effect
L-histidine,H1,effect
L-histidine,H2 blockers,effect
FLOLAN,diuretics,effect
FLOLAN,antihypertensive agents,effect
FLOLAN,vasodilators,effect
antiplatelet agents,FLOLAN,effect
anticoagulants,FLOLAN,effect
furosemide,FLOLAN,mechanism
digoxin,FLOLAN,mechanism
digoxin,FLOLAN,mechanism
diethylpropion,antihypertensive drugs,int
diethylpropion,guanethidine,int
diethylpropion,a-methyldopa,int
phenothiazines,diethylpropion,effect
Catecholamine-depleting drugs,beta-blocking agents,effect
reserpine,beta-blocking agents,effect
acebutolol,catecholamine depletors,advise
beta-adrenergic antagonists,alpha-adrenergic stimulants,effect
beta-adrenoceptor blocking agents,nonsteroidal anti-inflammatory drugs,effect
clonazepam,propantheline,mechanism
clonazepam,propantheline,mechanism
phenytoin,clonazepam,mechanism
carbamazepine,clonazepam,mechanism
phenobarbital,clonazepam,mechanism
antifungal agents,clonazepam,advise
benzodiazepine class,alcohol,effect
benzodiazepine class,narcotics,effect
benzodiazepine class,barbiturates,effect
benzodiazepine class,nonbarbiturate hypnotics,effect
benzodiazepine class,antianxiety agents,effect
benzodiazepine class,phenothiazines,effect
benzodiazepine class,thioxanthene,effect
benzodiazepine class,butyrophenone classes of antipsychotic agents,effect
benzodiazepine class,monoamine oxidase inhibitors,effect
benzodiazepine class,tricyclic antidepressants,effect
benzodiazepine class,anticonvulsant drugs,effect
quinolones,theophylline,mechanism
quinolones,caffeine,mechanism
quinolones,warfarin,effect
quinolones,cyclosporine,effect
bosentan,Ortho-Novum,mechanism
hormonal contraceptives,TRACLEER,effect
bosentan,cyclosporine A,mechanism
bosentan,cyclosporine A,advise
bosentan,cyclosporine A,mechanism
tacrolimus,bosentan,mechanism
tacrolimus,bosentan,advise
TRACLEER,glyburide,advise
bosentan,glyburide,mechanism
Bosentan,hypoglycemic agents,mechanism
bosentan,ketoconazole,mechanism
bosentan,simvastatin,mechanism
Bosentan,statins,mechanism
Bosentan,lovastatin,mechanism
Bosentan,atorvastatin,mechanism
statins,TRACLEER,advise
bosentan,S-warfarin,mechanism
bosentan,R-warfarin,mechanism
clorazepate dipotassium,hexobarbital,effect
clorazepate dipotassium,ethyl alcohol,effect
clorazepate dipotassium,chlorpromazine,effect
benzodiazepines,barbiturates,effect
benzodiazepines,narcotics,effect
benzodiazepines,phenothiazines,effect
benzodiazepines,monoamine oxidase inhibitors,effect
benzodiazepines,antidepressants,effect
linezolid,adrenergic,int
linezolid,serotonergic agents,int
ZYVOX,sympathomimetic agents,effect
ZYVOX,vasopressor,effect
ZYVOX,dopaminergic agents,effect
ZYVOX,serotonergic agents,effect
ZYVOX,antidepressants,effect
ZYVOX,selective serotonin reuptake inhibitors,effect
ZYVOX,SSRIs,effect
ZYVOX,serotonergic agents,effect
ZYVOX,serotonergic agents,advise
ibuprofen,coumarin-type anticoagulants,effect
nonsteroidal anti-inflammatory agents,coumarin-type anticoagulants,effect
ibuprofen,anticoagulants,advise
aspirin,nonsteroidal anti-inflammatory agents,effect
aspirin,ibuprofen,effect
Ibuprofen,methotrexate,mechanism
nonsteroidal anti-inflammatory drugs,methotrexate,mechanism
ibuprofen,methotrexate,effect
ibuprofen,methotrexate,advise
ibuprofen,furosemide,effect
ibuprofen,thiazides,effect
Ibuprofen,lithium,mechanism
ibuprofen,lithium,advise
Antizol,ethanol,mechanism
ethanol,Antizol,mechanism
Antizol,phenytoin,mechanism
Antizol,carbamazepine,mechanism
Antizol,cimetidine,mechanism
Antizol,ketoconazole,mechanism
Levo-Dromoran,central nervous system depressants,effect
Levo-Dromoran,alcohol,effect
Levo-Dromoran,sedatives,effect
Levo-Dromoran,hypnotics,effect
Levo-Dromoran,opioids,effect
Levo-Dromoran,anesthetics,effect
Levo-Dromoran,barbiturates,effect
Levo-Dromoran,tricyclic antidepressants,effect
Levo-Dromoran,phenothiazines,effect
Levo-Dromoran,tranquilizers,effect
Levo-Dromoran,skeletal muscle relaxants,effect
Levo-Dromoran,antihistamines,effect
Levo-Dromoran,MAO inhibitors,advise
Agonist/antagonist analgesics,Levo-Dromoran,advise
pentazocine,Levo-Dromoran,advise
nalbuphine,Levo-Dromoran,advise
butorphanol,Levo-Dromoran,advise
dezocine,Levo-Dromoran,advise
buprenorphine,Levo-Dromoran,advise
pure agonist opioid analgesic,Levo-Dromoran,advise
phenytoin,Norpace,mechanism
phenytoin,Norpace CR,mechanism
Norpace,quinidine,mechanism
disopyramide phosphate,erythromycin,mechanism
disopyramide,verapamil,advise
reserpine,beta-blocking,effect
beta-blockers,clonidine,advise
beta-blocker,clonidine,advise
calcium antagonists,beta-adrenergic blocking agents,advise
beta-adrenergic blocking agents,calcium antagonist,effect
beta-blockers,epinephrine,effect
carbamazepine,SUPRAX,mechanism
Warfarin,cefixime,effect
Anticoagulants,cefixime,effect
sympathomimetic amines,monoamine oxidase inhibitors,effect
DIDREX,CNS stimulants,advise
Amphetamines,antihypertensives,effect
Amphetamines,tricyclic antidepressants,effect
Urinary acidifying,amphetamines,mechanism
dapsone,folic acid antagonists,effect
dapsone,pyrimethamine,effect
PEGANONE,Phenurone,advise
PEGANONE,phenacemide,advise
hydantoin antiepileptic,phenytoin,int
hydantoin antiepileptic,coumarin anticoagulant,int
phenytoin,coumarin,mechanism
phenytoin,coumarin anticoagulants,mechanism
coumarin anticoagulants,phenytoin,mechanism
PEGANONE,coumarin anticoagulants,advise
lansoprazole,theophylline,mechanism
theophylline,lansoprazole,advise
proton pump inhibitors,sucralfate,mechanism
proton pump inhibitors,sucralfate,advise
lansoprazole,ketoconazole,mechanism
lansoprazole,ampicillin,mechanism
lansoprazole,iron,mechanism
lansoprazole,digoxin,mechanism
baclofen,morphine,effect
doxylamine,CNS depressant drugs,effect
Antihistamines,heparin,effect
Antihistamines,warfarin,effect
Doxylamine,epinephrine,effect
phenobarbital,efavirenz,mechanism
rifampin,efavirenz,mechanism
rifabutin,efavirenz,mechanism
SUSTIVA,clarithromycin,effect
indinavir,SUSTIVA,mechanism
indinavir,SUSTIVA,mechanism
lopinavir,SUSTIVA,advise
ritonavir,SUSTIVA,advise
efavirenz,contraceptives,advise
SUSTIVA,ritonavir,advise
anticonvulsant,efavirenz,mechanism
SUSTIVA,itraconazole,mechanism
SUSTIVA,ketoconazole,mechanism
Cholestyramine,fat soluble vitamins,mechanism
phenytoin,calcitriol,mechanism
phenobarbital,calcitriol,mechanism
thiazides,vitamin D,effect
Vitamin D,digitalis,advise
Ketoconazole,vitamin D,mechanism
vitamin D analogues,corticosteroids,mechanism
Magnesium,vitamin D,advise
antacids,vitamin D,advise
theophylline,quinolone,mechanism
quinolones,theophylline,effect
Quinolones,caffeine,mechanism
Quinolones,warfarin,effect
nalidixic acid,warfarin,effect
Nitrofurantoin,nalidixic acid,effect
Videx,quinolones,mechanism
Didanosine,quinolones,mechanism
quinolones,cyclosporine,mechanism
Zalcitabine,ZDV,effect
lamivudine,zalcitabine,effect
Zalcitabine,lamivudine,effect
zalcitabine,lamivudine,effect
zalcitabine,lamivudine,advise
HIVID,didanosine,advise
pentamidine,HIVID,effect
pentamidine,HIVID,advise
amphotericin,HIVID,effect
amphotericin,zalcitabine,mechanism
foscarnet,HIVID,effect
foscarnet,zalcitabine,mechanism
aminoglycosides,HIVID,effect
aminoglycosides,zalcitabine,mechanism
probenecid,zalcitabine,mechanism
cimetidine,zalcitabine,mechanism
zalcitabine,magnesium,advise
zalcitabine,aluminum,advise
zalcitabine,antacids,advise
zalcitabine,metoclopramide,mechanism
Doxorubicin,zalcitabine,effect
proton pump inhibitors,warfarin,effect
esomeprazole,diazepam,mechanism
esomeprazole,ketoconazole,mechanism
esomeprazole,iron,mechanism
esomeprazole,digoxin,mechanism
clarithromycin,pimozide,advise
EPA,aspirin,int
EPA,non-steroidal anti-inflammatory drugs,int
EPA,ginkgo,int
EPA,Ginkgo biloba,int
NSAIDs,aspirin,advise
Ponstel,aspirin,advise
NSAIDs,methotrexate,mechanism
NSAIDs,methotrexate,advise
NSAIDs,ACE inhibitors,effect
NSAIDs,ACE inhibitors,advise
NSAIDs,furosemide,effect
NSAIDs,thiazides,effect
Ponstel,furosemide,advise
NSAIDs,lithium,mechanism
NSAIDs,lithium,mechanism
NSAIDs,lithium,advise
warfarin,NSAIDs,effect
magnesium hydroxide,mefenamic acid,mechanism
Cyclopentolate,carbachol,effect
Cyclopentolate,pilocarpine,effect
Anticoagulants,ardeparin,effect
platelet aggregation inhibitors,ardeparin,effect
nonsteroidal anti-inflammatory drugs,ardeparin,effect
NSAIDs,ardeparin,effect
aspirin,ardeparin,effect
HEXALEN,antidepressants of the MAO inhibitor class,effect
Cimetidine,altretamine,mechanism
HEXALEN,cisplatin,effect
pyridoxine,HEXALEN,advise
pyridoxine,cisplatin,advise
Folic acid,phenobarbital,effect
Folic acid,phenytoin,effect
Folic acid,primidone,effect
leucovorin,methotrexate,effect
Leucovorin,5-fluorouracil,effect
levetiracetam,AEDs,mechanism
Aminoglutethimide,corticosteroids,effect
corticosteroids,amphotericin B,advise
corticosteroids,diuretics,advise
amphotericin B,hydrocortisone,effect
Macrolide antibiotics,corticosteroid,mechanism
anticholinesterase agents,corticosteroids,effect
anticholinesterase agents,corticosteroid,advise
corticosteroids,warfarin,effect
corticosteroids,antidiabetic agents,effect
Cholestyramine,corticosteroids,mechanism
cyclosporine,corticosteroids,effect
Ephedrine,corticosteroids,mechanism
Estrogens,corticosteroids,mechanism
barbiturates,corticosteroids,mechanism
phenytoin,corticosteroids,mechanism
carbamazepine,corticosteroids,mechanism
rifampin,corticosteroids,mechanism
ketoconazole,corticosteroids,mechanism
macrolide antibiotics,corticosteroids,mechanism
erythromycin,corticosteroids,mechanism
Ketoconazole,corticosteroids,mechanism
ketoconazole,corticosteroid,effect
aspirin,corticosteroids,effect
nonsteroidal antiinflammatory agents,corticosteroids,effect
Aspirin,corticosteroids,advise
salicylates,corticosteroids,mechanism
phenytoin,dexamethasone,mechanism
corticosteroid,live,effect
corticosteroid,inactivated vaccines,effect
Corticosteroids,live attenuated vaccines,effect
vaccines,corticosteroid,advise
FACTIVE,calcium carbonate,mechanism
FACTIVE,cimetidine,mechanism
FACTIVE,omeprazole,mechanism
FACTIVE,estrogen,mechanism
FACTIVE,progesterone,mechanism
FACTIVE,contraceptive,mechanism
FACTIVE,probenecid,mechanism
quinolones,warfarin,effect
quinolone antimicrobial,warfarin,advise
gemifloxacin,aluminum,mechanism
gemifloxacin,magnesium,mechanism
Magnesium,FACTIVE,advise
aluminum,FACTIVE,advise
ferrous sulfate,FACTIVE,advise
iron,FACTIVE,advise
multivitamin preparations,FACTIVE,advise
zinc,FACTIVE,advise
Videx,FACTIVE,advise
didanosine,FACTIVE,advise
Sucralfate,FACTIVE,advise
Digoxin,Adenocard,effect
verapamil,Adenocard,effect
